codigo,municipio,departamento,cod_dep,Incidencia2000,Incidencia2006,Incidencia2011,Incidencia2014,Poblacion2000,Poblacion2006,Poblacion2011,Poblacion2014,IPM2000,IPM2006,IPM2011,IPM2014
1614,Chahal,Alta Verapaz,16,s.d.,"83,1","85,3","89,4",s.d.,"756,5","952,3","1.109,3",s.d.,"0,519","0,498","0,529"
1613,Chisec,Alta Verapaz,16,s.d.,"83,1","85,3","89,4",s.d.,"756,5","952,3","1.109,3",s.d.,"0,519","0,498","0,529"
1601,Cobán,Alta Verapaz,16,s.d.,"83,1","85,3","89,4",s.d.,"756,5","952,3","1.109,3",s.d.,"0,519","0,498","0,529"
1615,Fray Bartolomé de las Casas,Alta Verapaz,16,s.d.,"83,1","85,3","89,4",s.d.,"756,5","952,3","1.109,3",s.d.,"0,519","0,498","0,529"
1607,Panzós,Alta Verapaz,16,s.d.,"83,1","85,3","89,4",s.d.,"756,5","952,3","1.109,3",s.d.,"0,519","0,498","0,529"
1617,Raxruhá,Alta Verapaz,16,s.d.,"83,1","85,3","89,4",s.d.,"756,5","952,3","1.109,3",s.d.,"0,519","0,498","0,529"
1611,San Agustín Lanquín,Alta Verapaz,16,s.d.,"83,1","85,3","89,4",s.d.,"756,5","952,3","1.109,3",s.d.,"0,519","0,498","0,529"
1603,San Cristóbal Verapaz,Alta Verapaz,16,s.d.,"83,1","85,3","89,4",s.d.,"756,5","952,3","1.109,3",s.d.,"0,519","0,498","0,529"
1610,San Juan Chamelco,Alta Verapaz,16,s.d.,"83,1","85,3","89,4",s.d.,"756,5","952,3","1.109,3",s.d.,"0,519","0,498","0,529"
1606,San Miguel Tucurú,Alta Verapaz,16,s.d.,"83,1","85,3","89,4",s.d.,"756,5","952,3","1.109,3",s.d.,"0,519","0,498","0,529"
1609,San Pedro Carchá,Alta Verapaz,16,s.d.,"83,1","85,3","89,4",s.d.,"756,5","952,3","1.109,3",s.d.,"0,519","0,498","0,529"
1616,Santa Catalina La Tinta,Alta Verapaz,16,s.d.,"83,1","85,3","89,4",s.d.,"756,5","952,3","1.109,3",s.d.,"0,519","0,498","0,529"
1602,Santa Cruz Verapaz,Alta Verapaz,16,s.d.,"83,1","85,3","89,4",s.d.,"756,5","952,3","1.109,3",s.d.,"0,519","0,498","0,529"
1612,Santa María Cahabón,Alta Verapaz,16,s.d.,"83,1","85,3","89,4",s.d.,"756,5","952,3","1.109,3",s.d.,"0,519","0,498","0,529"
1608,Senahú,Alta Verapaz,16,s.d.,"83,1","85,3","89,4",s.d.,"756,5","952,3","1.109,3",s.d.,"0,519","0,498","0,529"
1604,Tactic,Alta Verapaz,16,s.d.,"83,1","85,3","89,4",s.d.,"756,5","952,3","1.109,3",s.d.,"0,519","0,498","0,529"
1605,Tamahú,Alta Verapaz,16,s.d.,"83,1","85,3","89,4",s.d.,"756,5","952,3","1.109,3",s.d.,"0,519","0,498","0,529"
1504,Cubulco,Baja Verapaz,15,s.d.,"75,4","75,7","77,3",s.d.,"185,2","199,3","228,2",s.d.,"0,407","0,406","0,372"
1505,Granados,Baja Verapaz,15,s.d.,"75,4","75,7","77,3",s.d.,"185,2","199,3","228,2",s.d.,"0,407","0,406","0,372"
1508,Purulhá,Baja Verapaz,15,s.d.,"75,4","75,7","77,3",s.d.,"185,2","199,3","228,2",s.d.,"0,407","0,406","0,372"
1503,Rabinal,Baja Verapaz,15,s.d.,"75,4","75,7","77,3",s.d.,"185,2","199,3","228,2",s.d.,"0,407","0,406","0,372"
1501,Salamá,Baja Verapaz,15,s.d.,"75,4","75,7","77,3",s.d.,"185,2","199,3","228,2",s.d.,"0,407","0,406","0,372"
1507,San Jerónimo,Baja Verapaz,15,s.d.,"75,4","75,7","77,3",s.d.,"185,2","199,3","228,2",s.d.,"0,407","0,406","0,372"
1502,San Miguel Chicaj,Baja Verapaz,15,s.d.,"75,4","75,7","77,3",s.d.,"185,2","199,3","228,2",s.d.,"0,407","0,406","0,372"
1506,Santa Cruz El Chol,Baja Verapaz,15,s.d.,"75,4","75,7","77,3",s.d.,"185,2","199,3","228,2",s.d.,"0,407","0,406","0,372"
411,Acatenango,Chimaltenango,4,s.d.,"58,4","69,9","73,3",s.d.,"303,0","423,0","503,9",s.d.,"0,3","0,3","0,3"
401,Chimaltenango,Chimaltenango,4,s.d.,"58,4","69,9","73,3",s.d.,"303,0","423,0","503,9",s.d.,"0,3","0,3","0,3"
416,El Tejar,Chimaltenango,4,s.d.,"58,4","69,9","73,3",s.d.,"303,0","423,0","503,9",s.d.,"0,3","0,3","0,3"
414,Parramos,Chimaltenango,4,s.d.,"58,4","69,9","73,3",s.d.,"303,0","423,0","503,9",s.d.,"0,3","0,3","0,3"
409,Patzicía,Chimaltenango,4,s.d.,"58,4","69,9","73,3",s.d.,"303,0","423,0","503,9",s.d.,"0,3","0,3","0,3"
407,Patzún,Chimaltenango,4,s.d.,"58,4","69,9","73,3",s.d.,"303,0","423,0","503,9",s.d.,"0,3","0,3","0,3"
413,San Andrés Itzapa,Chimaltenango,4,s.d.,"58,4","69,9","73,3",s.d.,"303,0","423,0","503,9",s.d.,"0,3","0,3","0,3"
402,San José Poaquil,Chimaltenango,4,s.d.,"58,4","69,9","73,3",s.d.,"303,0","423,0","503,9",s.d.,"0,3","0,3","0,3"
404,San Juan Comalapa,Chimaltenango,4,s.d.,"58,4","69,9","73,3",s.d.,"303,0","423,0","503,9",s.d.,"0,3","0,3","0,3"
403,San Martín Jilotepeque,Chimaltenango,4,s.d.,"58,4","69,9","73,3",s.d.,"303,0","423,0","503,9",s.d.,"0,3","0,3","0,3"
408,San Miguel Pochuta,Chimaltenango,4,s.d.,"58,4","69,9","73,3",s.d.,"303,0","423,0","503,9",s.d.,"0,3","0,3","0,3"
412,San Pedro Yepocapa,Chimaltenango,4,s.d.,"58,4","69,9","73,3",s.d.,"303,0","423,0","503,9",s.d.,"0,3","0,3","0,3"
405,Santa Apolonia,Chimaltenango,4,s.d.,"58,4","69,9","73,3",s.d.,"303,0","423,0","503,9",s.d.,"0,3","0,3","0,3"
410,Santa Cruz Balanyá,Chimaltenango,4,s.d.,"58,4","69,9","73,3",s.d.,"303,0","423,0","503,9",s.d.,"0,3","0,3","0,3"
406,Tecpán Guatemala,Chimaltenango,4,s.d.,"58,4","69,9","73,3",s.d.,"303,0","423,0","503,9",s.d.,"0,3","0,3","0,3"
415,Zaragoza,Chimaltenango,4,s.d.,"58,4","69,9","73,3",s.d.,"303,0","423,0","503,9",s.d.,"0,3","0,3","0,3"
2005,Camotán,Chiquimula,20,s.d.,"67,9","71,0","77,2",s.d.,"231,2","259,1","309,1",s.d.,"0,403","0,408","0,435"
2001,Chiquimula,Chiquimula,20,s.d.,"67,9","71,0","77,2",s.d.,"231,2","259,1","309,1",s.d.,"0,403","0,408","0,435"
2008,Concepción las Minas,Chiquimula,20,s.d.,"67,9","71,0","77,2",s.d.,"231,2","259,1","309,1",s.d.,"0,403","0,408","0,435"
2007,Esquipulas,Chiquimula,20,s.d.,"67,9","71,0","77,2",s.d.,"231,2","259,1","309,1",s.d.,"0,403","0,408","0,435"
2011,Ipala,Chiquimula,20,s.d.,"67,9","71,0","77,2",s.d.,"231,2","259,1","309,1",s.d.,"0,403","0,408","0,435"
2004,Jocotán,Chiquimula,20,s.d.,"67,9","71,0","77,2",s.d.,"231,2","259,1","309,1",s.d.,"0,403","0,408","0,435"
2006,Olopa,Chiquimula,20,s.d.,"67,9","71,0","77,2",s.d.,"231,2","259,1","309,1",s.d.,"0,403","0,408","0,435"
2009,Quezaltepeque,Chiquimula,20,s.d.,"67,9","71,0","77,2",s.d.,"231,2","259,1","309,1",s.d.,"0,403","0,408","0,435"
2010,San Jacinto,Chiquimula,20,s.d.,"67,9","71,0","77,2",s.d.,"231,2","259,1","309,1",s.d.,"0,403","0,408","0,435"
2002,San José La Arada,Chiquimula,20,s.d.,"67,9","71,0","77,2",s.d.,"231,2","259,1","309,1",s.d.,"0,403","0,408","0,435"
2003,San Juan Ermita,Chiquimula,20,s.d.,"67,9","71,0","77,2",s.d.,"231,2","259,1","309,1",s.d.,"0,403","0,408","0,435"
205,El Jícaro,El Progreso,2,s.d.,"53,4","60,3","64,5",s.d.,"80,4","94,2","107,2",s.d.,"0,240","0,290","0,288"
201,Guastatoya,El Progreso,2,s.d.,"53,4","60,3","64,5",s.d.,"80,4","94,2","107,2",s.d.,"0,240","0,290","0,288"
202,Morazán,El Progreso,2,s.d.,"53,4","60,3","64,5",s.d.,"80,4","94,2","107,2",s.d.,"0,240","0,290","0,288"
203,San Agustín Acasaguastlán,El Progreso,2,s.d.,"53,4","60,3","64,5",s.d.,"80,4","94,2","107,2",s.d.,"0,240","0,290","0,288"
208,San Antonio La Paz,El Progreso,2,s.d.,"53,4","60,3","64,5",s.d.,"80,4","94,2","107,2",s.d.,"0,240","0,290","0,288"
204,San Cristóbal Acasaguastlán,El Progreso,2,s.d.,"53,4","60,3","64,5",s.d.,"80,4","94,2","107,2",s.d.,"0,240","0,290","0,288"
207,Sanarate,El Progreso,2,s.d.,"53,4","60,3","64,5",s.d.,"80,4","94,2","107,2",s.d.,"0,240","0,290","0,288"
206,Sansare,El Progreso,2,s.d.,"53,4","60,3","64,5",s.d.,"80,4","94,2","107,2",s.d.,"0,240","0,290","0,288"
501,Escuintla,Escuintla,5,,,,,,,,,,,,
508,Guanagazapa,Escuintla,5,,,,,,,,,,,,
510,Iztapa,Escuintla,5,,,,,,,,,,,,
503,La Democracia,Escuintla,5,,,,,,,,,,,,
507,La Gomera,Escuintla,5,,,,,,,,,,,,
505,Masagua,Escuintla,5,,,,,,,,,,,,
513,Nueva Concepción,Escuintla,5,,,,,,,,,,,,
511,Palín,Escuintla,5,,,,,,,,,,,,
509,San José,Escuintla,5,,,,,,,,,,,,
512,San Vicente Pacaya,Escuintla,5,,,,,,,,,,,,
502,Santa Lucía Cotzulmalguapa,Escuintla,5,,,,,,,,,,,,
514,Sipacate,Escuintla,5,,,,,,,,,,,,
504,Siquinalá,Escuintla,5,,,,,,,,,,,,
506,Tiquisate,Escuintla,5,,,,,,,,,,,,
114,Amatitlán,Guatemala,1,,,,,,,,,,,,
106,Chinautla,Guatemala,1,,,,,,,,,,,,
112,Chuarrancho,Guatemala,1,,,,,,,,,,,,
113,Fraijanes,Guatemala,1,,,,,,,,,,,,
101,Guatemala,Guatemala,1,,,,,,,,,,,,
108,Mixco,Guatemala,1,,,,,,,,,,,,
105,Palencia,Guatemala,1,,,,,,,,,,,,
104,San José del Golfo,Guatemala,1,,,,,,,,,,,,
103,San José Pinula,Guatemala,1,,,,,,,,,,,,
110,San Juan Sacatepéquez,Guatemala,1,,,,,,,,,,,,
117,San Miguel Petapa,Guatemala,1,,,,,,,,,,,,
107,San Pedro Ayampuc,Guatemala,1,,,,,,,,,,,,
109,San Pedro Sacatepéquez,Guatemala,1,,,,,,,,,,,,
111,San Raymundo,Guatemala,1,,,,,,,,,,,,
102,Santa Catarina Pinula,Guatemala,1,,,,,,,,,,,,
116,Villa Canales,Guatemala,1,,,,,,,,,,,,
115,Villa Nueva,Guatemala,1,,,,,,,,,,,,
1327,Aguacatán,Huehuetenango,13,,,,,,,,,,,,
1326,Barillas,Huehuetenango,13,,,,,,,,,,,,
1302,Chiantla,Huehuetenango,13,,,,,,,,,,,,
1319,Colotenango,Huehuetenango,13,,,,,,,,,,,,
1322,Concepción Huista,Huehuetenango,13,,,,,,,,,,,,
1304,Cuilco,Huehuetenango,13,,,,,,,,,,,,
1301,Huehuetenango,Huehuetenango,13,,,,,,,,,,,,
1307,Jacaltenango,Huehuetenango,13,,,,,,,,,,,,
1312,La Democracia,Huehuetenango,13,,,,,,,,,,,,
1311,La Libertad,Huehuetenango,13,,,,,,,,,,,,
1303,Malacatancito,Huehuetenango,13,,,,,,,,,,,,
1305,Nentón,Huehuetenango,13,,,,,,,,,,,,
1333,Petatán,Huehuetenango,13,,,,,,,,,,,,
1324,San Antonio Huista,Huehuetenango,13,,,,,,,,,,,,
1329,San Gaspar Ixchil,Huehuetenango,13,,,,,,,,,,,,
1309,San Idelfonso Ixtahuacán,Huehuetenango,13,,,,,,,,,,,,
1316,San Juan Atitán,Huehuetenango,13,,,,,,,,,,,,
1323,San Juan Ixcoy,Huehuetenango,13,,,,,,,,,,,,
1318,San Mateo Ixtatán,Huehuetenango,13,,,,,,,,,,,,
1313,San Miguel Acatán,Huehuetenango,13,,,,,,,,,,,,
1306,San Pedro Necta,Huehuetenango,13,,,,,,,,,,,,
1308,San Pedro Soloma,Huehuetenango,13,,,,,,,,,,,,
1314,San Rafael La Independencia,Huehuetenango,13,,,,,,,,,,,,
1328,San Rafael Pétzal,Huehuetenango,13,,,,,,,,,,,,
1325,San Sebastián Coatán,Huehuetenango,13,,,,,,,,,,,,
1320,San Sebastián Huehuetenango,Huehuetenango,13,,,,,,,,,,,,
1331,Santa Ana Huista,Huehuetenango,13,,,,,,,,,,,,
1310,Santa Bárbara,Huehuetenango,13,,,,,,,,,,,,
1317,Santa Eulalia,Huehuetenango,13,,,,,,,,,,,,
1330,Santiago Chimaltenango,Huehuetenango,13,,,,,,,,,,,,
1321,Tectitán,Huehuetenango,13,,,,,,,,,,,,
1315,Todos Santos Cuchumatán,Huehuetenango,13,,,,,,,,,,,,
1332,Unión Cantinil,Huehuetenango,13,,,,,,,,,,,,
1803,El Estor,Izabal,18,,,,,,,,,,,,
1802,Livingston,Izabal,18,,,,,,,,,,,,
1805,Los Amates,Izabal,18,,,,,,,,,,,,
1804,Morales,Izabal,18,,,,,,,,,,,,
1801,Puerto Barrios,Izabal,18,,,,,,,,,,,,
2101,Jalapa,Jalapa,21,,,,,,,,,,,,
2107,Mataquescuintla,Jalapa,21,,,,,,,,,,,,
2106,Monjas,Jalapa,21,,,,,,,,,,,,
2105,San Carlos Alzatate,Jalapa,21,,,,,,,,,,,,
2103,San Luis Jilotepeque,Jalapa,21,,,,,,,,,,,,
2104,San Manuel Chaparrón,Jalapa,21,,,,,,,,,,,,
2102,San Pedro Pinula,Jalapa,21,,,,,,,,,,,,
2204,Agua Blanca,Jutiapa,22,,,,,,,,,,,,
2205,Asunción Mita,Jutiapa,22,,,,,,,,,,,,
2207,Atescatempa,Jutiapa,22,,,,,,,,,,,,
2211,Comapa,Jutiapa,22,,,,,,,,,,,,
2213,Conguaco,Jutiapa,22,,,,,,,,,,,,
2209,El Adelanto,Jutiapa,22,,,,,,,,,,,,
2202,El Progreso,Jutiapa,22,,,,,,,,,,,,
2212,Jalpatagua,Jutiapa,22,,,,,,,,,,,,
2208,Jerez,Jutiapa,22,,,,,,,,,,,,
2201,Jutiapa,Jutiapa,22,,,,,,,,,,,,
2214,Moyuta,Jutiapa,22,,,,,,,,,,,,
2215,Pasaco,Jutiapa,22,,,,,,,,,,,,
2217,Quesada,Jutiapa,22,,,,,,,,,,,,
2216,San José Acatempa,Jutiapa,22,,,,,,,,,,,,
2203,Santa Catarina Mita,Jutiapa,22,,,,,,,,,,,,
2206,Yupiltepeque,Jutiapa,22,,,,,,,,,,,,
2210,Zapotitlán,Jutiapa,22,,,,,,,,,,,,
1708,Dolores,Petén,17,,,,,,,,,,,,
1714,El Chal,Petén,17,,,,,,,,,,,,
1701,Flores,Petén,17,,,,,,,,,,,,
1705,La Libertad,Petén,17,,,,,,,,,,,,
1713,Las Cruces,Petén,17,,,,,,,,,,,,
1711,Melchor de Mencos,Petén,17,,,,,,,,,,,,
1712,Poptún,Petén,17,,,,,,,,,,,,
1704,San Andrés,Petén,17,,,,,,,,,,,,
1703,San Benito,Petén,17,,,,,,,,,,,,
1706,San Francisco,Petén,17,,,,,,,,,,,,
1702,San José,Petén,17,,,,,,,,,,,,
1709,San Luis,Petén,17,,,,,,,,,,,,
1707,Santa Ana,Petén,17,,,,,,,,,,,,
1710,Sayaxché,Petén,17,,,,,,,,,,,,
913,Almolonga,Quetzaltenango,9,,,,,,,,,,,,
906,Cabricán,Quetzaltenango,9,,,,,,,,,,,,
907,Cajolá,Quetzaltenango,9,,,,,,,,,,,,
914,Cantel,Quetzaltenango,9,,,,,,,,,,,,
920,Coatepeque,Quetzaltenango,9,,,,,,,,,,,,
917,Colomba,Quetzaltenango,9,,,,,,,,,,,,
911,Concepción Chiquirichapa,Quetzaltenango,9,,,,,,,,,,,,
919,El Palmar,Quetzaltenango,9,,,,,,,,,,,,
922,Flores Costa Cuca,Quetzaltenango,9,,,,,,,,,,,,
921,Génova,Quetzaltenango,9,,,,,,,,,,,,
915,Huitán,Quetzaltenango,9,,,,,,,,,,,,
923,La Esperanza,Quetzaltenango,9,,,,,,,,,,,,
903,Olintepeque,Quetzaltenango,9,,,,,,,,,,,,
924,Palestina de los Altos,Quetzaltenango,9,,,,,,,,,,,,
901,Quetzaltenango,Quetzaltenango,9,,,,,,,,,,,,
902,Salcajá,Quetzaltenango,9,,,,,,,,,,,,
904,San Carlos Sija,Quetzaltenango,9,,,,,,,,,,,,
918,San Francisco La Unión,Quetzaltenango,9,,,,,,,,,,,,
909,San Juan Ostuncalco,Quetzaltenango,9,,,,,,,,,,,,
912,San Martín Sacatepéquez,Quetzaltenango,9,,,,,,,,,,,,
910,San Mateo,Quetzaltenango,9,,,,,,,,,,,,
908,San Miguel Sigüila,Quetzaltenango,9,,,,,,,,,,,,
905,Sibilia,Quetzaltenango,9,,,,,,,,,,,,
916,Zunil,Quetzaltenango,9,,,,,,,,,,,,
1418,Canillá,Quiché,14,,,,,,,,,,,,
1405,Chajul,Quiché,14,,,,,,,,,,,,
1419,Chicamán,Quiché,14,,,,,,,,,,,,
1402,Chiché,Quiché,14,,,,,,,,,,,,
1406,Chichicastenango,Quiché,14,,,,,,,,,,,,
1403,Chinique,Quiché,14,,,,,,,,,,,,
1410,Cunén,Quiché,14,,,,,,,,,,,,
1420,Ixcán,Quiché,14,,,,,,,,,,,,
1412,Joyabaj,Quiché,14,,,,,,,,,,,,
1413,Nebaj,Quiché,14,,,,,,,,,,,,
1421,Pachalum,Quiché,14,,,,,,,,,,,,
1407,Patzité,Quiché,14,,,,,,,,,,,,
1416,Sacapulas,Quiché,14,,,,,,,,,,,,
1414,San Andrés Sajcabajá,Quiché,14,,,,,,,,,,,,
1408,San Antonio Ilotenango,Quiché,14,,,,,,,,,,,,
1417,San Bartolomé Jocotenango,Quiché,14,,,,,,,,,,,,
1411,San Juan Cotzal,Quiché,14,,,,,,,,,,,,
1415,San Miguel Uspantán,Quiché,14,,,,,,,,,,,,
1409,San Pedro Jocopilas,Quiché,14,,,,,,,,,,,,
1401,Santa Cruz del Quiché,Quiché,14,,,,,,,,,,,,
1404,Zacualpa,Quiché,14,,,,,,,,,,,,
1107,Champerico,Retalhuleu,11,,,,,,,,,,,,
1109,El Asintal,Retalhuleu,11,,,,,,,,,,,,
1108,Nuevo San Carlos,Retalhuleu,11,,,,,,,,,,,,
1101,Retalhuleu,Retalhuleu,11,,,,,,,,,,,,
1106,San Andrés Villa Seca,Retalhuleu,11,,,,,,,,,,,,
1105,San Felipe Retalhuleu,Retalhuleu,11,,,,,,,,,,,,
1104,San Martín Zapotitlán,Retalhuleu,11,,,,,,,,,,,,
1102,San Sebastián,Retalhuleu,11,,,,,,,,,,,,
1103,Santa Cruz Muluá,Retalhuleu,11,,,,,,,,,,,,
314,Alotenango,Sacatepéquez,3,,,,,,,,,,,,
301,Antigua Guatemala,Sacatepéquez,3,,,,,,,,,,,,
312,Ciudad Vieja,Sacatepéquez,3,,,,,,,,,,,,
302,Jocotenango,Sacatepéquez,3,,,,,,,,,,,,
310,Magdalena Milpas Altas,Sacatepéquez,3,,,,,,,,,,,,
303,Pastores,Sacatepéquez,3,,,,,,,,,,,,
315,San Antonio Aguas Calientes,Sacatepéquez,3,,,,,,,,,,,,
307,San Bartolomé Milpas Altas,Sacatepéquez,3,,,,,,,,,,,,
308,San Lucas Sacatepéquez,Sacatepéquez,3,,,,,,,,,,,,
313,San Miguel Dueñas,Sacatepéquez,3,,,,,,,,,,,,
316,Santa Catarina Barahona,Sacatepéquez,3,,,,,,,,,,,,
309,Santa Lucía Milpas Altas,Sacatepéquez,3,,,,,,,,,,,,
311,Santa María de Jesús,Sacatepéquez,3,,,,,,,,,,,,
306,Santiago Sacatepéquez,Sacatepéquez,3,,,,,,,,,,,,
305,Santo Domingo Xenacoj,Sacatepéquez,3,,,,,,,,,,,,
304,Sumpango,Sacatepéquez,3,,,,,,,,,,,,
1217,Ayutla,San Marcos,12,,,,,,,,,,,,
1216,Catarina,San Marcos,12,,,,,,,,,,,,
1204,Comitancillo,San Marcos,12,,,,,,,,,,,,
1206,Concepción Tutuapa,San Marcos,12,,,,,,,,,,,,
1220,El Quetzal,San Marcos,12,,,,,,,,,,,,
1214,El Rodeo,San Marcos,12,,,,,,,,,,,,
1213,El Tumbador,San Marcos,12,,,,,,,,,,,,
1227,Esquipulas Palo Gordo,San Marcos,12,,,,,,,,,,,,
1223,Ixchiguán,San Marcos,12,,,,,,,,,,,,
1230,La Blanca,San Marcos,12,,,,,,,,,,,,
1221,La Reforma,San Marcos,12,,,,,,,,,,,,
1215,Malacatán,San Marcos,12,,,,,,,,,,,,
1212,Nuevo Progreso,San Marcos,12,,,,,,,,,,,,
1218,Ocós,San Marcos,12,,,,,,,,,,,,
1222,Pajapita,San Marcos,12,,,,,,,,,,,,
1228,Río Blanco,San Marcos,12,,,,,,,,,,,,
1203,San Antonio Sacatepéquez,San Marcos,12,,,,,,,,,,,,
1225,San Cristóbal Cucho,San Marcos,12,,,,,,,,,,,,
1224,San José Ojetenam,San Marcos,12,,,,,,,,,,,,
1229,San Lorenzo,San Marcos,12,,,,,,,,,,,,
1201,San Marcos,San Marcos,12,,,,,,,,,,,,
1205,San Miguel Ixtahuacán,San Marcos,12,,,,,,,,,,,,
1219,San Pablo,San Marcos,12,,,,,,,,,,,,
1202,San Pedro Sacatepéquez,San Marcos,12,,,,,,,,,,,,
1211,San Rafael Pie de la Cuesta,San Marcos,12,,,,,,,,,,,,
1208,Sibinal,San Marcos,12,,,,,,,,,,,,
1226,Sipacapa,San Marcos,12,,,,,,,,,,,,
1207,Tacaná,San Marcos,12,,,,,,,,,,,,
1209,Tajumulco,San Marcos,12,,,,,,,,,,,,
1210,Tejutla,San Marcos,12,,,,,,,,,,,,
602,Barberena,Santa Rosa,6,,,,,,,,,,,,
604,Casillas,Santa Rosa,6,,,,,,,,,,,,
608,Chiquimulilla,Santa Rosa,6,,,,,,,,,,,,
601,Cuilapa,Santa Rosa,6,,,,,,,,,,,,
611,Guazacapán,Santa Rosa,6,,,,,,,,,,,,
614,Nueva Santa Rosa,Santa Rosa,6,,,,,,,,,,,,
606,Oratorio,Santa Rosa,6,,,,,,,,,,,,
613,Pueblo Nuevo Viñas,Santa Rosa,6,,,,,,,,,,,,
607,San Juan Tecuaco,Santa Rosa,6,,,,,,,,,,,,
605,San Rafael Las Flores,Santa Rosa,6,,,,,,,,,,,,
612,Santa Cruz Naranjo,Santa Rosa,6,,,,,,,,,,,,
610,Santa María Ixhuatán,Santa Rosa,6,,,,,,,,,,,,
603,Santa Rosa de Lima,Santa Rosa,6,,,,,,,,,,,,
609,Taxisco,Santa Rosa,6,,,,,,,,,,,,
708,Concepción,Sololá,7,,,,,,,,,,,,
705,Nahualá,Sololá,7,,,,,,,,,,,,
710,Panajachel,Sololá,7,,,,,,,,,,,,
709,San Andrés Semetabaj,Sololá,7,,,,,,,,,,,,
712,San Antonio Palopó,Sololá,7,,,,,,,,,,,,
702,San José Chacayá,Sololá,7,,,,,,,,,,,,
717,San Juan La Laguna,Sololá,7,,,,,,,,,,,,
713,San Lucas Tolimán,Sololá,7,,,,,,,,,,,,
716,San Marcos La Laguna,Sololá,7,,,,,,,,,,,,
715,San Pablo La Laguna,Sololá,7,,,,,,,,,,,,
718,San Pedro La Laguna,Sololá,7,,,,,,,,,,,,
706,Santa Catarina Ixtahuacán,Sololá,7,,,,,,,,,,,,
711,Santa Catarina Palopó,Sololá,7,,,,,,,,,,,,
707,Santa Clara La Laguna,Sololá,7,,,,,,,,,,,,
714,Santa Cruz La Laguna,Sololá,7,,,,,,,,,,,,
704,Santa Lucía Utatlán,Sololá,7,,,,,,,,,,,,
703,Santa María Visitación,Sololá,7,,,,,,,,,,,,
719,Santiago Atitlán,Sololá,7,,,,,,,,,,,,
701,Sololá,Sololá,7,,,,,,,,,,,,
1013,Chicacao,Suchitepéquez,10,,,,,,,,,,,,
1002,Cuyotenango,Suchitepéquez,10,,,,,,,,,,,,
1001,Mazatenango,Suchitepéquez,10,,,,,,,,,,,,
1014,Patulul,Suchitepéquez,10,,,,,,,,,,,,
1019,Pueblo Nuevo,Suchitepéquez,10,,,,,,,,,,,,
1020,Río Bravo,Suchitepéquez,10,,,,,,,,,,,,
1008,Samayac,Suchitepéquez,10,,,,,,,,,,,,
1010,San Antonio Suchitepéquez,Suchitepéquez,10,,,,,,,,,,,,
1004,San Bernardino,Suchitepéquez,10,,,,,,,,,,,,
1003,San Francisco Zapotitlán,Suchitepéquez,10,,,,,,,,,,,,
1012,San Gabriel,Suchitepéquez,10,,,,,,,,,,,,
1005,San José El Ídolo,Suchitepéquez,10,,,,,,,,,,,,
1021,San José La Máquina,Suchitepéquez,10,,,,,,,,,,,,
1016,San Juan Bautista,Suchitepéquez,10,,,,,,,,,,,,
1007,San Lorenzo,Suchitepéquez,10,,,,,,,,,,,,
1011,San Miguel Panán,Suchitepéquez,10,,,,,,,,,,,,
1009,San Pablo Jocopilas,Suchitepéquez,10,,,,,,,,,,,,
1015,Santa Bárbara,Suchitepéquez,10,,,,,,,,,,,,
1006,Santo Domingo Suchitepéquez,Suchitepéquez,10,,,,,,,,,,,,
1017,Santo Tomas La Unión,Suchitepéquez,10,,,,,,,,,,,,
1018,Zunilito,Suchitepéquez,10,,,,,,,,,,,,
805,Momostenango,Totonicapán,8,,,,,,,,,,,,
804,San Andrés Xecul,Totonicapán,8,,,,,,,,,,,,
808,San Bartolo Aguas Calientes,Totonicapán,8,,,,,,,,,,,,
802,San Cristóbal Totonicapán,Totonicapán,8,,,,,,,,,,,,
803,San Francisco El Alto,Totonicapán,8,,,,,,,,,,,,
807,Santa Lucía La Reforma,Totonicapán,8,,,,,,,,,,,,
806,Santa María Chiquimula,Totonicapán,8,,,,,,,,,,,,
801,Totonicapán,Totonicapán,8,,,,,,,,,,,,
1907,Cabañas,Zacapa,19,,,,,,,,,,,,
1902,Estanzuela,Zacapa,19,,,,,,,,,,,,
1904,Gualán,Zacapa,19,,,,,,,,,,,,
1910,Huité,Zacapa,19,,,,,,,,,,,,
1909,La Unión,Zacapa,19,,,,,,,,,,,,
1903,Río Hondo,Zacapa,19,,,,,,,,,,,,
1908,San Diego,Zacapa,19,,,,,,,,,,,,
1911,San Jorge,Zacapa,19,,,,,,,,,,,,
1905,Teculután,Zacapa,19,,,,,,,,,,,,
1906,Usumatlán,Zacapa,19,,,,,,,,,,,,
1901,Zacapa,Zacapa,19,,,,,,,,,,,,
