cod_dep,departamento,codigo,municipio,Ranking de la Gestión Municipal 2013,Ranking de la Gestión Municipal 2016,Ranking de la Gestión Municipal 2018,Tendencia
1,Guatemala,102,Santa Catarina Pinula,"0,6749","0,5693","0,6537",
1,Guatemala,108,Mixco,"0,5285","0,5461","0,6402",
15,Baja Verapaz,1501,Salamá,"0,6061","0,6210","0,6253",
3,Sacatepéquez,308,San Lucas Sacatepéquez,"0,5687","0,4754","0,6075",
1,Guatemala,117,San Miguel Petapa,"0,3933","0,2093","0,6043",
9,Quetzaltenango,902,Salcajá,"0,4866","0,5838","0,5982",
1,Guatemala,101,Guatemala,"0,5181","0,5790","0,5936",
12,San Marcos,1201,San Marcos,"0,2936","0,4651","0,5880",
1,Guatemala,103,San José Pinula,"0,2761","0,4245","0,5691",
7,Sololá,716,San Marcos La Laguna,"0,4843","0,4494","0,5691",
1,Guatemala,106,Chinautla,"0,3584","0,2600","0,5681",
12,San Marcos,1202,San Pedro Sacatepéquez,"0,1243","0,3691","0,5626",
4,Chimaltenango,407,Patzún,"0,2876","0,2580","0,5625",
16,Alta Verapaz,1602,Santa Cruz Verapaz,"0,4392","0,4764","0,5576",
1,Guatemala,113,Fraijanes,"0,2613","0,3512","0,5564",
1,Guatemala,115,Villa Nueva,"0,4886","0,5514","0,5559",
12,San Marcos,1203,San Antonio Sacatepéquez,"0,4851","0,4224","0,5559",
15,Baja Verapaz,1507,San Jerónimo,"0,3506","0,4232","0,5482",
3,Sacatepéquez,316,Santa Catarina Barahona,"0,4168","0,4425","0,5479",
3,Sacatepéquez,306,Santiago Sacatepéquez,"0,3012","0,4393","0,5467",
4,Chimaltenango,415,Zaragoza,"0,4053","0,4151","0,5445",
6,Santa Rosa,609,Taxisco,"0,2776","0,3292","0,5420",
3,Sacatepéquez,303,Pastores,"0,4416","0,4874","0,5413",
16,Alta Verapaz,1610,San Juan Chamelco,"0,4932","0,3887","0,5389",
22,Jutiapa,2216,San José Acatempa,"0,3518","0,5167","0,5385",
11,Retalhuleu,1108,Nuevo San Carlos,"0,3840","0,4098","0,5316",
12,San Marcos,1210,Tejutla,"0,3039","0,3813","0,5273",
1,Guatemala,114,Amatitlán,"0,4200","0,3900","0,5262",
18,Izabal,1803,El Estor,"0,1857","0,4495","0,5260",
13,Huehuetenango,1303,Malacatancito,"0,4568","0,4020","0,5253",
7,Sololá,707,Santa Clara La Laguna,"0,2991","0,3042","0,5241",
6,Santa Rosa,608,Chiquimulilla,"0,4729","0,4056","0,5212",
20,Chiquimula,2007,Esquipulas,"0,4819","0,3722","0,5205",
20,Chiquimula,2006,Olopa,"0,3934","0,3055","0,5201",
9,Quetzaltenango,903,Olintepeque,"0,3637","0,3743","0,5180",
9,Quetzaltenango,905,Sibilia,"0,2647","0,3066","0,5156",
4,Chimaltenango,403,San Martín Jilotepeque,"0,4686","0,4224","0,5148",
14,Quiché,1421,Pachalum,"0,1469","0,3297","0,5144",
10,Suchitepéquez,1018,Zunilito,"0,3983","0,3158","0,5128",
12,San Marcos,1208,Sibinal,"0,4262","0,4017","0,5126",
16,Alta Verapaz,1617,Raxruhá,"0,5448","0,3721","0,5114",
3,Sacatepéquez,307,San Bartolomé Milpas Altas,"0,4015","0,2635","0,5112",
2,El Progreso,205,El Jícaro,"0,2681","0,2806","0,5108",
9,Quetzaltenango,924,Palestina de los Altos,"0,4920","0,3795","0,5106",
12,San Marcos,1230,La Blanca,,"0,3755","0,5090",
9,Quetzaltenango,915,Huitán,"0,1699","0,2874","0,5086",
14,Quiché,1413,Nebaj,"0,2881","0,3419","0,5086",
16,Alta Verapaz,1606,San Miguel Tucurú,"0,1890","0,5140","0,5084",
19,Zacapa,1902,Estanzuela,"0,4640","0,3910","0,5073",
22,Jutiapa,2214,Moyuta,"0,2422","0,3619","0,5069",
1,Guatemala,112,Chuarrancho,"0,3445","0,2742","0,5020",
4,Chimaltenango,411,Acatenango,"0,3076","0,2660","0,5013",
9,Quetzaltenango,910,San Mateo,"0,1928","0,2600","0,4996",
15,Baja Verapaz,1508,Purulhá,"0,3609","0,4768","0,4995",
1,Guatemala,116,Villa Canales,"0,5008","0,3405","0,4991",
12,San Marcos,1206,Concepción Tutuapa,"0,2899","0,3065","0,4983",
9,Quetzaltenango,923,La Esperanza,"0,3667","0,3382","0,4978",
21,Jalapa,2107,Mataquescuintla,"0,2981","0,3863","0,4975",
19,Zacapa,1901,Zacapa,"0,2550","0,2985","0,4974",
16,Alta Verapaz,1609,San Pedro Carchá,"0,5604","0,3298","0,4953",
6,Santa Rosa,614,Nueva Santa Rosa,"0,4946","0,4167","0,4949",
17,Petén,1704,San Andrés,"0,1867","0,2086","0,4930",
6,Santa Rosa,601,Cuilapa,"0,3229","0,2763","0,4916",
2,El Progreso,204,San Cristóbal Acasaguastlán,"0,5436","0,4043","0,4899",
5,Escuintla,509,San José,"0,3863","0,3311","0,4893",
20,Chiquimula,2010,San Jacinto,"0,4590","0,3951","0,4880",
6,Santa Rosa,610,Santa María Ixhuatán,"0,3072","0,2483","0,4875",
20,Chiquimula,2004,Jocotán,"0,3168","0,3969","0,4866",
12,San Marcos,1227,Esquipulas Palo Gordo,"0,4895","0,4290","0,4859",
16,Alta Verapaz,1607,Panzós,"0,4957","0,4454","0,4851",
12,San Marcos,1211,San Rafael Pie de la Cuesta,"0,3379","0,2327","0,4843",
5,Escuintla,510,Iztapa,"0,3058","0,3764","0,4837",
5,Escuintla,514,Sipacate,,"0,2209","0,4829",
9,Quetzaltenango,914,Cantel,"0,2394","0,2923","0,4793",
13,Huehuetenango,1333,Petatán,,"0,3685","0,4765",
21,Jalapa,2106,Monjas,"0,2509","0,3209","0,4765",
20,Chiquimula,2003,San Juan Ermita,"0,3531","0,2483","0,4763",
19,Zacapa,1906,Usumatlán,"0,3733","0,3596","0,4762",
15,Baja Verapaz,1506,Santa Cruz El Chol,"0,5030","0,4926","0,4752",
4,Chimaltenango,401,Chimaltenango,"0,3600","0,2839","0,4750",
8,Totonicapán,801,Totonicapán,"0,3386","0,2093","0,4749",
2,El Progreso,208,San Antonio La Paz,"0,2469","0,3166","0,4737",
1,Guatemala,105,Palencia,"0,3725","0,4018","0,4736",
6,Santa Rosa,603,Santa Rosa de Lima,"0,3839","0,2776","0,4736",
16,Alta Verapaz,1614,Chahal,"0,4983","0,4402","0,4712",
4,Chimaltenango,412,San Pedro Yepocapa,"0,3172","0,3441","0,4704",
12,San Marcos,1205,San Miguel Ixtahuacán,"0,3865","0,2666","0,4693",
20,Chiquimula,2002,San José La Arada,"0,3754","0,2630","0,4677",
3,Sacatepéquez,312,Ciudad Vieja,"0,2193","0,3573","0,4668",
5,Escuintla,511,Palín,"0,4205","0,2964","0,4656",
6,Santa Rosa,605,San Rafael Las Flores,"0,3944","0,4355","0,4616",
6,Santa Rosa,607,San Juan Tecuaco,"0,2741","0,0919","0,4596",
12,San Marcos,1223,Ixchiguán,"0,4824","0,4923","0,4591",
3,Sacatepéquez,301,Antigua Guatemala,"0,2466","0,2777","0,4588",
18,Izabal,1804,Morales,"0,4159","0,2892","0,4581",
21,Jalapa,2101,Jalapa,"0,3709","0,2571","0,4574",
8,Totonicapán,802,San Cristóbal Totonicapán,"0,3763","0,2741","0,4569",
17,Petén,1714,El Chal,,"0,2900","0,4559",
7,Sololá,703,Santa María Visitación,"0,2998","0,3316","0,4552",
9,Quetzaltenango,901,Quetzaltenango,"0,4512","0,3429","0,4536",
19,Zacapa,1911,San Jorge,,"0,2579","0,4517",
1,Guatemala,109,San Pedro Sacatepéquez,"0,1477","0,3279","0,4511",
20,Chiquimula,2011,Ipala,"0,3482","0,3855","0,4508",
14,Quiché,1408,San Antonio Ilotenango,"0,3545","0,4624","0,4506",
13,Huehuetenango,1302,Chiantla,"0,4277","0,3177","0,4491",
14,Quiché,1411,San Juan Cotzal,"0,2503","0,3206","0,4478",
17,Petén,1712,Poptún,"0,3459","0,4018","0,4477",
21,Jalapa,2105,San Carlos Alzatate,"0,2886","0,3415","0,4474",
5,Escuintla,505,Masagua,"0,3810","0,2452","0,4465",
9,Quetzaltenango,921,Génova,"0,3078","0,2736","0,4460",
12,San Marcos,1225,San Cristóbal Cucho,"0,3718","0,2487","0,4449",
