"codigo_municipal", "municipio", "codigo_departamental", "departamento", "ejercicio", "funcion", "asignado", "modificado", "vigente", "devengado", "pagado"
"101","GUATEMALA","1","GUATEMALA","2016","Administración Legislativa, Ejecutiva y Asuntos Exteriores","1226400","42800","1269200","1223906","1223906"
"101","GUATEMALA","1","GUATEMALA","2016","Administración Fiscal, Monetaria y Servicios de Fiscalización","6408600","192700","6601300","6067622","6067622"
"101","GUATEMALA","1","GUATEMALA","2016","Ayuda Económica Exterior","76500","750","77250","59625","59625"
"101","GUATEMALA","1","GUATEMALA","2016","Servicios Generales","5028300","-101600","4926700","4759206","4759206"
"101","GUATEMALA","1","GUATEMALA","2016","Servicios Públicos Generales n.c.d","2568000","-9700","2558300","2530239","2530239"
"101","GUATEMALA","1","GUATEMALA","2016","Servicios de Policía y Seguridad Ciudadana","33281400","-654600","32626800","32283068","32283068"
"101","GUATEMALA","1","GUATEMALA","2016","Administración de Justicia","1597800","0","1597800","1518015","1518015"
"101","GUATEMALA","1","GUATEMALA","2016","Servicios de Prevención y Control de Incendios, y Servicios de Rescate y Auxilio","4948800","-200","4948600","4628733","4628733"
"101","GUATEMALA","1","GUATEMALA","2016","Gestión para la Reducción de Riesgos a Desastres","8800000","0","8800000","0","0"
"101","GUATEMALA","1","GUATEMALA","2016","Minería, Manufacturas y Construcción","456000","495175","951175","673549","673549"
"101","GUATEMALA","1","GUATEMALA","2016","Transporte","422400","0","422400","369689","369689"
"101","GUATEMALA","1","GUATEMALA","2016","Otras Actividades Económicas y Financieras","4984200","-221400","4762800","4411896","4411896"
"101","GUATEMALA","1","GUATEMALA","2016","Asuntos económicos n.c.d","12000","14000","26000","26000","26000"
"101","GUATEMALA","1","GUATEMALA","2016","Ordenación de Desechos","0","155000","155000","89500","89500"
"101","GUATEMALA","1","GUATEMALA","2016","Protección Ambiental n.c.d","69367900","5100000","74467900","74387962","64387962"
"101","GUATEMALA","1","GUATEMALA","2016","Urbanización","0","36580","36580","0","0"
"101","GUATEMALA","1","GUATEMALA","2016","Alumbrado Público","132000000","0","132000000","111558669","111558669"
"101","GUATEMALA","1","GUATEMALA","2016","Urbanización y Servicios Comunitarios n.c.d","500000","700000","1200000","1107653","1028519"
"101","GUATEMALA","1","GUATEMALA","2016","Servicios Hospitalarios","2082600","-900","2081700","1803710","1803710"
"101","GUATEMALA","1","GUATEMALA","2016","Servicios Culturales","2718000","139300","2857300","2806827","2806827"
"101","GUATEMALA","1","GUATEMALA","2016","Actividades Deportivas, Recreativas, Cultura y Religión n.c.d","187200","0","187200","92450","92450"
"101","GUATEMALA","1","GUATEMALA","2016","Educación Media","0","198800","198800","190960","190960"
"101","GUATEMALA","1","GUATEMALA","2016","Educación no Atribuible a Ningún Nivel Escolarizado","0","0","0","0","0"
"101","GUATEMALA","1","GUATEMALA","2016","Educación n.c.d","500000","0","500000","500000","500000"
"101","GUATEMALA","1","GUATEMALA","2016","Enfermedad, Funcionamiento Corporal y Discapacidad","0","5000","5000","4500","4500"
"101","GUATEMALA","1","GUATEMALA","2016","Edad  Avanzada","5388000","-16000","5372000","4522058","4522058"
"101","GUATEMALA","1","GUATEMALA","2016","Familia e Hijos","7250400","-10270","7240130","7004685","7004685"
"101","GUATEMALA","1","GUATEMALA","2016","Desempleo","120000","94000","214000","180000","180000"
"101","GUATEMALA","1","GUATEMALA","2016","Protección Social n.c.d","820000","0","820000","820000","820000"
"101","GUATEMALA","1","GUATEMALA","2016","Intereses y Comisiones de la Deuda Pública","5000000","-285000","4715000","0","0"
"101","GUATEMALA","1","GUATEMALA","2016","Amortizaciones de la Deuda Pública","8800000","285000","9085000","9067128","9067128"
